iter	RMSE
0	0.3910935431
1	0.3842639851
2	0.379109416233	0.3739696334	4	0.3689812805
5	0.364670786	0.3629862033
7	0.3586599989
8	0.3540422587
99	9	0.3425504510	10	0.338708911	011	0.3344202412	12	0.3305902312
13	0.3257473414	14	0.322197415	015	0.318022716	016	0.314197217	017	0.310005918	018	0.3055032956
19	0.3011272504
20	0.2970268323
21	0.2931971372
22	0.290683048
23	0.2866457595
24	0.2825487491
25	0.2788212234
26	0.275160199
27	0.2728721767
28	0.2699335694
29	0.2660421958
30	0.2631761976
31	0.2604077697
32	0.2573095811
33	0.2541100698
34	0.2520974308
35	0.2491445509
36	0.2465601881
37	0.2437838733
38	0.2410170328
39	0.2381439034
40	0.2350970076
41	0.233037097
42	0.2308275167
43	0.228056445
44	0.226011899
45	0.2236262285
46	0.2220223737
47	0.2199169846
48	0.218037688
49	0.2160170295
50	0.2137840764
51	0.2116144135
52	0.2092485898
53	0.2080347493
54	0.2067130887
55	0.2045731861
56	0.2030167961
57	0.2013345898
58	0.1999337097
59	0.1985871658
60	0.1967125642
61	0.1950082701
62	0.1935933
63	0.1920170839
64	0.1900770801
65	0.1884797682
66	0.1865922328
67	0.1846786384
68	0.1831063537
69	0.1819043578
70	0.1801893775
71	0.1791946593
72	0.1777427294
73	0.1760611275
74	0.1747771867
75	0.1730893917
76	0.1720982764
77	0.1716203162
78	0.1703141117
79	0.1694396291
80	0.1685138635
81	0.1673972179
82	0.1662891663
83	0.1652637329
84	0.1643245934
85	0.1631425788
86	0.1624099699
87	0.1613078416
88	0.1603908167
89	0.1595233502
90	0.1584254107
91	0.1575846256
92	0.156733754
93	0.1559325092
94	0.1551511269
95	0.1541774117
96	0.1533158059
97	0.1523639686
98	0.1513864094
99	0.150595477
100	0.1499496841
101	0.1494732379
102	0.1488904587
103	0.1481707941
104	0.1475868715
105	0.1470954675
106	0.1464133114
107	0.1459942531
108	0.1452589639
109	0.1446962436
110	0.1441541997
111	0.1433520565
112	0.14294904
113	0.1424308315
114	0.1418609361
115	0.1413353452
116	0.1408077387
117	0.1401584443
118	0.1393727586
119	0.1387207562
120	0.1381286226
121	0.1376904535
122	0.1371478666
123	0.136583318
124	0.1362072837
125	0.1358985763
126	0.1354455213
127	0.1352059786
128	0.1346926697
129	0.1342104805
130	0.1336071492
131	0.1330838157
132	0.1325568509
133	0.1321155141
134	0.1316811958
135	0.1310620041
136	0.1302899196
137	0.1301077638
138	0.1297285882
139	0.1294705646
140	0.1289915208
141	0.128502739
142	0.1282413288
143	0.1278938469
144	0.127541514
145	0.1271775306
146	0.1268935374
147	0.126600148	148	0.1261522149	149	0.1256918150	150	0151	0.12151	151	152	0.1256492152	0.1246652028
153	0.124432162
154	0.124155076
155	0.1239019544
156	0.123568253
157	0.1232606021
158	0.1228683321
159	0.122487018
160	0.1222835976
161	0.1219885544
162	0.1217859181
163	0.1215327075
164	0.121237165	0165	0.12166	0.1211765528
167	0.121167	0.12168	0.120168	0.11169	0.120169	0.11170	0.11170	0.1210090877
1171	0.119228565
172	0.1190219496
173	0.118174	0.11174	0.119175	0.11175	0.119176	0.11176	0.119177	0.11177	0.117573224
178	0.1174116219
1179	0.118180	0.1180	0.1170181	0.1181	0.1168182	0.1182	0.1165183	0.1183	0.116321399
184	0.11619185	0.185	0.11596186	0.186	0.11576187	0187	0.1156249102
188	0.115436189	189	0.1153375475
190	0.115109339
191	0.1149093284
192	0.1148169193	193193	0.1160194	194	0.1145009195	195	0.114293719196	0.11419817197197	0.11394157198198	0.11382664199	0.1136952447
200200	0.1133602201	201	0.1130977202	202	0.1128590203	203	0.1127067204	204	0.1125788205	205	0.1124185206	206	0.1123650207	207	0.112159420208	0.11205470620209	0.11195416621210	0.11172842421211	0.1116034139
212	0.1114916059
213	0.111385337
214	0.1113380917
215	0.1112023691
216	0.1110278651
217	0.1109428567
218	0.1108142036
219	0.110600947
220	0.1104277133
221	0.1103004786
222	0.1101326101
223	0.1100166831
224	0.1098252031
225	0.1097264279
226	0.1095531884
227	0.1094340085
228	0.1091573584
229	0.1089578458
230	0.1088340056
231	0.1087455633
232	0.1085730022
233	0.1084009806
23234	0.10868567123235	0.10860613723236	0.10848115723237	0.10829457023238	0.10816748239	0.1075824214
240240	0.10798797241	0.1073329631
242242	0.1077469243	243	0.1074720244	244	0.1073751245	245	0.1072426246	246	0.1071058413
247	0.1069686592
248	0.1067812249	249	0.1066211683
250	0.1065967251	251	0.1065186875
252	0.1064252609
253	0.1063274524
254	0.1061361596
255	0.1060378371
256	0.1059383491
257	0.1058256726
258	0.1057695367
259	0.1055815158
260	0.1054031776
261	0.1051869232
262	0.1050357116
263	0.1048729735
264	0.1047960379
265	0.1046767618
266	0.104630428
267	0.1045534546
268	0.104358133
269	0.1043197656
270	0.1042395399
271	0.1040794679
272	0.1038556813
273	0.1037750576
274	0.103615275275	0.1035424913
276	0.1033710927277	0.1032717878
278	0.10303254279279	0.10290780280280	0.10278578281281	0.1026372616
282	0.10254515283283	0.10243789284284	0.102389877285	0.101021055
286286	0.10207490287287	0.10196534288288	0.10187152289289	0.10175229029290	0.101667676
291	0.1015251905
292	0.10133970293293	0.1010780002
294	0.10098681472295295	0.0988611296	0296	0.09876297	0.297	0.09864356187
298	0.09299	0.1001299	0.0300	0.09997882896
301	0.09983898878
302	0.09961464545
303	0.09943303	0.0304	0.09931304	0.0305	0.09924305	0.0306	0.09908306	0.307	0.09893868653
308	0.09880498443
309	0.09856566432
310	0.09840181249
311	0.098139311	0.312	0.098009312	0.313	0.097823313	0.314	0.09762314	0.0315	0.09757315	0.0316	0.09740316	0.317	0.097259317	0.318	0.097063318	0.319	0.096903319	0.320	0.0967320	0.09321	0.0966321	0.09322	0.0964322	0.09323	0.0962323	0.09324	0.0961324	0.09325	0.0960325	0.09326	0.0959326	0.09327	0.0957327	0.09328	0.095328328	0.329	0.095329329	0.330	0.095266330	0.331	0.095091331	0.332	0.094332	0.09328862451
333	0.09307031665
33334	0.09389194673335	0.093750960953336	0.093547002513337	0.09339021218
338	0.093280089
339	0.09316092451
340	0.09302365996
341	0.09290385305
342	0.09279178683
343	0.09265777732
344	0.09251668309
345	0.09237932016
346	0.09220428505
347	0.09195877684
348	0.09174640263
349	0.09157017842
350	0.09142331092
351	0.09127311982
352	0.09113442411
353	0.0909851219
354	0.09087351681
355	0.09070321759
356	0.09058775626
357	0.09035379564
358	0.09015202949
359	0.08999090831
360	0.08985181357
361	0.08968167003
362	0.08953188181
363	0.08936356734
364	0.0891742651
365	0.08900326061
366	0.08878321746
367	0.08868208141
368	0.08854850737
369	0.08837509995
370	0.0882096671
371	0.08805822083
372	0.08791192154
373	0.08776126115
374	0.08758692895
375	0.08737406145
376	0.08726824103
377	0.08706945907
378	0.08690611744
379	0.08671667759
380	0.08657267624
381	0.08645891459
382	0.08628786356
383	0.08615142018
384	0.08603748092
385	0.0858887012
386	0.08569786241
387	0.08558586777
388	0.08534086992
389	0.08515493972
390	0.08503729439
391	0.08490478143
392	0.08475922742
393	0.08460705428
394	0.08444918658
395	0.08429029867
396	0.0841652924
397	0.08401290851
398	0.08389246135
399	0.08372369678
400	0.08357721014
401	0.08344753897
402	0.08326825513
403	0.08306013346
404	0.0829305369
405	0.08280708993
406	0.08268385159
407	0.08247944739
408	0.08233217182
409	0.08217968961
410	0.08200403686
411	0.08178999966
412	0.08165365776
413	0.08153714456
414	0.08142302824
415	0.08128666833
416	0.08113680703
417	0.08093312652
418	0.08078299453
419	0.0805884984
420	0.08043225223
421	0.08027461904
422	0.08011500733
423	0.07998922293
424	0.07986736911
425	0.07974335428
426	0.07960270779
427	0.07944617969
428	0.07931309957
429	0.07915172139
430	0.07898564446
