iter	Passed	Remaining
0	20	37855
1	53	49362
2	80	49851
3	108	50205
4	138	51565
5	146	45272
6	167	446	357	245	567	418	234	488	439	303	56104
10	334	56284
11	384	59285
12	414	58951
13	460	60718
14	487	59954
15	556	64122
16	586	63620
17	629	64430
18	715	69387
19	755	69542
20	819	71771
21	855	71492
22	925	73936
23	961	73588
24	1038	76281
25	1128	79629
26	1146	77889
27	1230	80525
28	1249	78961
29	1305	79668
30	1324	78206
31	1361	77805
32	1383	76636
33	1418	76217
34	1437	75005
35	1498	75969
36	1518	74868
37	1585	76042
38	1644	76845
39	1669	75989
40	1746	77513
41	1778	77006
42	1803	76233
43	1868	77175
44	1893	76417
45	1925	75983
46	1956	75504
47	2018	76255
48	2052	75895
49	2076	75205
50	2121	75285
51	2140	74454
52	2187	74622
53	2269	75928
54	2298	75470
55	2354	75878
56	2407	76195
57	2435	75697
58	2486	75939
59	2510	75368
60	2530	74663
61	2567	74496
62	2585	73802
63	2615	73451
64	2645	73086
65	2690	73177
66	2737	73304
67	2782	73376
68	2837	73687
69	2874	73540
70	2930	73885
71	2950	73316
72	2996	73384
73	3028	73134
74	3057	72802
75	3099	72794
76	3123	72361
77	3159	72219
78	3203	72260
79	3247	72307
80	3290	72313
81	3351	72701
82	3371	72218
83	3401	71950
84	3444	71980
85	3465	71523
86	3501	71394
87	3531	71141
88	3577	71231
89	3593	70721
90	3638	70778
91	3681	70782
92	3718	70697
93	3791	71274
94	3819	71000
95	3839	70586
96	3860	70208
97	3904	70232
98	3936	70053
99	3999	70428
100	4017	70011
101	4058	69994
102	4091	69831
103	4116	69552
104	4150	69410
105	4170	69041
106	4214	69086
107	4233	68710
108	4272	68677
109	4291	68313
110	4338	68398
111	4378	68380
112	4407	68182
113	4433	67946
114	4454	67624
115	4482	67437
116	4505	67153
117	4539	67059
118	4557	66713
119	4588	66570
120	4611	66313
121	4672	66604
122	4702	66445
123	4757	66646
124	4795	66606
125	4821	66386
126	4884	66696
127	4906	66424
128	4935	66260
129	4979	66309
130	5002	66066
131	5021	65775
132	5059	65737
133	5077	65439
134	5119	65454
135	5138	65180
136	5166	65010
137	5199	64921
138	5222	64698
139	5249	64526
140	5280	64410
141	5319	64390
142	5343	64191
143	5383	64188
144	5409	64020
145	5429	63778
146	5459	63658
147	5480	63148	148	5500	63149	149	5528	63150	150	5566	63151	151	5601	62985
152	5643	62997
153	5694	63125
154	5721	62970
155	5769	63055
156	5805	63010
157	5830	62841
158	5852	62646
159	5874	62448
160	5910	62410
161	5943	62334
162	5964	62137
163	5999	62083
164	6021	61165	165	6049	61166	166	6071	61167	167	6127	61747
168	6156	61634
169	6183	61508
170	6214	61422
171	6263	61508
172	6317	61638
173	6337	61447
174	6363	61303
175	6386	61145
176	6422	61108
177	6498	61447
178	6522	61286
179	6541	61087
180	6578	61062
181	6617	61050
182	6641	60896
183	6698	61049
184	6708	60776
185	6753	60814
186	6777	60668
187	6827	60761
188	6859	60681
189	6885	60552
190	6930	60597
191	6953	60442
192	6994	60449
193	7013	60266
194	7052	60257
195	7080	60151
196	7123	60167
197	7154	60094
198	7181	59980
199	7222	59980
200	7261	59968
201	7290	59874
202	7341	59961
203	7361	59794
204	7410	59866
205	7427	59676
206	7463	59632
207	7483	59469
208	7530	59522
209	7561	59445
210	7608	59497
211	7656	59552
212	7685	59459
213	7723	59444
214	7755	59376
215	7778	59235
216	7845	59435
217	7865	59279
218	7909	59300
219	7937	59204
220	7986	59269
221	8004	59094
222	8043	59084
223	8063	58927
224	8091	58831
225	8093	58554
226	8124	58479
227	8152	58388
228	8190	58370
229	8206	58197
230	8250	58216
231	8298	58270
232	8320	58133
233	8348	58046
234	8354	57809
235	8376	57675
236	8419	57690
237	8445	57589
238	8476	57525
239	8517	57526
240	8547	57241	241	8596	57512
242	8617	57243	243	8644	57244	244	8694	57245	245	8730	57313
246	8764	57247	247	8246	9229	6248	8247	9276	6249	8872	57172
250	8249	9344	6251	8946	57125
252	8251	9425	6253	8252	94254	9091	253	9511	60175
254	9540	60084
255	9583	60082
256	9632	60117
257	9655	59991
258	9701	60005
259	9733	59938
260	9751	59780
261	9785	59719
262	9814	59633
263	9877	59748
264	9901	59632
265	9929	59542
266	9948	59391
267	9980	59323
268	10004	59210
269	10021	59054
270	10049	58962
271273	9706	562227274	9746	562082275	275	9719	55276	276	9746	55277	277	9797	55278	278	9818	55279	9945	56158
280	9973	56079
281	10005	56021
282	10026	55910
283	10066	55895
284	10097	55837
2285	10071	554642286	10110	554502287	10128	553202288	10158	55255289	10256	55563
290	10285	55494
291	10327	55492
292	10349	55387
293	10373	55289
294	10419	55311
295	10474	55378
296	10504	55318
297	10557	55374
298	10579	55267
299	10611	55214
300	10632	55106
301	10664	55054
302	10689	54966
303	10740	55007
304	10774	54968
305	10818	54975
306	10853	54941
307	10885	54885
308	10909	54792
309	10943	54752
310	10974	54695
311	11003	54631
312	11034	54571
313	11050	54441
314	11090	54432
315	11115	54344
316	11133	54226
317	11157	54140
318	11182	54053
319	11210	53984
320	11231	53884
321	11265	53842
322	11284	53733
323	11313	53670
324	11336	53579
325	11371	53544
326	11426	53602
327	11459	53560
328	11482	53469
329	11508	53392
330	11537	53331
331	11601	53429
332	11687	53627
333	11719	53579
334	11742	53489
335	11776	53452
336	11805	53389
337	11833	53319
338	11854	53222
339	11877	53132
340	11900338	123341	11935339	123342	11959	52929
343	11981341	124344	12069342	124345	12089343	125346	12137344	125347	12172345	126348	12227346	126349	12295347	127350	12312348	12799	55454
349	12853	55490
350	12874	55385
351	12976	55628
352	13029	55659
353	13059	55593
354	13088	55523
355	13208	55838
356	13265	55884
357	13290	55799
358	13357	55884
359	13383	55801
360	13432	55811
361	13448	55689
362	13531	55840
363	13542	55693
364	13585	55680
365	13615	55615
366	13646	55553
367	13746	55769
368	13767	55666
369	13819	55689
370	13874	55720
371	13938	55792
372	13960	55693
373	14035	55805
374	14076	55779
375	14130	55809
376	14150	55701
377	14243	55880
378	14266	55786
379	14317	55801
380	14344	55719
381	14405	55772
382	14450	55766
383	14506	55795
384	14544	55758
385	14605	55810
386	14640	55764
387	14681	55737
388	14750	55815
389	14769	55707
390	14855	55850
391	14877	55753
392	14943	55820
393	14964	55718
394	15042	55827
395	15089	55823
396	15139	55830
397	15213	55924
398	15253	55892
399	15297	55874
400	15334	55830
401	15360	55748
402	15377	55634
403	15444	55701
404	15480	55654
405	15540	55693
